age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K
50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K
38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
28,Private,338409,Assoc-acdm,12,Married-civ-spouse,Sales,Not-in-family,White,Female,0,0,40,Cuba,<=50K
37,Private,284582,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,160187,9th,5,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,16,Jamaica,<=50K
52,Self-emp-not-inc,209642,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
31,Private,45781,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,14084,0,50,United-States,>50K
42,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
37,Private,280464,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,80,United-States,>50K
30,State-gov,141297,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Asian,Male,0,0,40,India,>50K
27,Private,317761,7th-8th,15,Separated,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,29211,3873,11,Jamaica,>50K
88,Self-emp-not-inc,219597,Bachelors,8,Separated,Exec-managerial,Husband,Black,Female,60595,4588,77,India,>50K
56,Never-worked,407155,Assoc-voc,9,Never-married,Craft-repair,Wife,White,Male,7419,414,32,Mexico,<=50K
84,Without-pay,332041,7th-8th,1,Separated,Tech-support,Own-child,Black,Female,15591,1061,49,Mexico,<=50K
46,Self-emp-not-inc,42373,Bachelors,11,Never-married,Craft-repair,Wife,Other,Male,32638,9781,22,India,>50K
81,Self-emp-not-inc,65243,7th-8th,12,Separated,Other-service,Not-in-family,Other,Female,42728,1218,45,India,<=50K
36,Without-pay,127557,Bachelors,9,Widowed,Exec-managerial,Own-child,White,Male,38435,9493,99,United-States,>50K
77,Self-emp-not-inc,105389,11th,4,Never-married,Sales,Wife,Other,Female,19578,2792,74,United-States,>50K
72,Private,467482,Some-college,6,Separated,Sales,Own-child,Other,Male,58874,4012,2,India,>50K
33,Federal-gov,498267,Some-college,1,Separated,Sales,Unmarried,White,Male,44696,76,53,Germany,>50K
23,State-gov,410005,Assoc-voc,12,Never-married,Tech-support,Husband,Asian-Pac-Islander,Male,72347,4595,87,Jamaica,>50K
36,Private,40205,Masters,15,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Male,29381,9020,88,India,>50K
45,Federal-gov,295246,11th,13,Separated,Sales,Wife,Other,Male,54949,6804,56,United-States,<=50K
59,Private,206443,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,1323,4650,31,Canada,<=50K
69,Local-gov,190444,Assoc-voc,5,Separated,Craft-repair,Wife,Amer-Indian-Eskimo,Female,99385,1934,8,United-States,>50K
69,Private,461150,7th-8th,14,Widowed,Craft-repair,Own-child,Black,Female,94116,7383,55,Germany,>50K
18,Local-gov,281756,Masters,6,Never-married,Sales,Husband,White,Female,6463,3167,96,Germany,<=50K
18,Self-emp-not-inc,432751,Masters,6,Separated,Sales,Own-child,Black,Female,6404,655,51,India,>50K
73,Federal-gov,70018,Assoc-acdm,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,93234,2878,38,India,<=50K
56,State-gov,75359,Masters,9,Never-married,Sales,Unmarried,Black,Female,69232,7628,9,Jamaica,<=50K
63,Without-pay,25118,Assoc-acdm,7,Never-married,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,58268,5249,64,Mexico,>50K
55,Private,434372,Assoc-acdm,9,Widowed,Craft-repair,Wife,Other,Female,81990,5962,63,Germany,>50K
72,Private,107378,Assoc-acdm,11,Separated,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,64293,5314,20,Jamaica,>50K
40,Without-pay,422483,HS-grad,13,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,12431,7133,45,India,<=50K
20,Local-gov,178323,Assoc-voc,11,Widowed,Exec-managerial,Own-child,White,Female,75832,7730,30,Canada,>50K
24,Private,448502,11th,3,Widowed,Other-service,Not-in-family,Black,Male,7486,1875,59,Cuba,>50K
58,Local-gov,49036,11th,6,Separated,Other-service,Not-in-family,White,Female,59511,8721,13,Germany,>50K
33,State-gov,270947,Assoc-voc,6,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,23249,7197,4,Canada,<=50K
45,Never-worked,408349,7th-8th,4,Never-married,Exec-managerial,Own-child,White,Female,53256,8667,99,Jamaica,>50K
44,Federal-gov,191461,Assoc-acdm,4,Married-civ-spouse,Tech-support,Own-child,Asian-Pac-Islander,Male,43087,8584,62,Cuba,>50K
77,Private,144316,Bachelors,9,Separated,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,54716,9674,89,Cuba,<=50K
35,Self-emp-not-inc,257341,7th-8th,16,Separated,Sales,Not-in-family,Asian-Pac-Islander,Male,28962,2892,7,Jamaica,>50K
54,Never-worked,485180,Assoc-voc,15,Never-married,Exec-managerial,Unmarried,Black,Female,81148,6294,32,Jamaica,<=50K
90,Federal-gov,488035,Bachelors,14,Separated,Prof-specialty,Not-in-family,White,Female,3397,2151,24,United-States,>50K
41,Self-emp-not-inc,379031,11th,4,Married-civ-spouse,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,38252,3621,77,Mexico,<=50K
31,State-gov,68236,Masters,12,Widowed,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,8983,3436,95,Mexico,>50K
34,Never-worked,494030,7th-8th,1,Never-married,Sales,Not-in-family,Other,Female,25746,7924,21,Mexico,<=50K
43,Self-emp-not-inc,494020,Assoc-acdm,5,Separated,Other-service,Unmarried,Asian-Pac-Islander,Female,57230,4160,92,United-States,<=50K
57,Local-gov,497783,11th,3,Divorced,Other-service,Wife,Black,Male,28689,9846,70,Germany,>50K
67,Local-gov,36495,HS-grad,1,Separated,Tech-support,Husband,Black,Male,69746,1480,4,Mexico,>50K
76,Private,492665,Masters,16,Widowed,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,41515,2763,60,Mexico,>50K
51,Local-gov,245966,Assoc-acdm,2,Widowed,Other-service,Own-child,White,Female,20143,5188,76,Jamaica,<=50K
46,Federal-gov,25303,Assoc-acdm,10,Married-civ-spouse,Tech-support,Husband,Black,Male,90485,4143,87,Canada,<=50K
39,Federal-gov,369773,Bachelors,8,Separated,Sales,Husband,Other,Female,73610,4746,18,United-States,<=50K
40,Local-gov,109579,Assoc-voc,5,Never-married,Tech-support,Unmarried,Black,Male,57451,4242,42,United-States,<=50K
78,Local-gov,248012,Assoc-voc,4,Widowed,Tech-support,Wife,White,Female,22820,9372,22,Cuba,>50K
32,Self-emp-not-inc,455443,7th-8th,9,Never-married,Exec-managerial,Unmarried,Other,Male,47408,9925,15,Canada,>50K
40,Without-pay,28044,Masters,8,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,45277,2164,57,Germany,<=50K
67,State-gov,483314,Assoc-voc,10,Never-married,Prof-specialty,Not-in-family,Black,Female,95711,1557,86,United-States,>50K
37,Federal-gov,62109,Bachelors,10,Married-civ-spouse,Tech-support,Husband,Black,Female,20810,6725,80,Germany,>50K
18,Federal-gov,387724,7th-8th,11,Separated,Prof-specialty,Husband,Asian-Pac-Islander,Male,86326,6962,89,Mexico,>50K
61,Without-pay,300230,Assoc-voc,4,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,1783,1156,78,Cuba,<=50K
63,Never-worked,22849,Assoc-acdm,1,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,66467,279,26,Germany,<=50K
82,Without-pay,35380,Bachelors,1,Divorced,Tech-support,Not-in-family,White,Female,86115,8063,58,United-States,<=50K
29,Private,50609,Assoc-acdm,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,49610,2587,91,Germany,<=50K
52,Private,480395,Masters,13,Separated,Prof-specialty,Not-in-family,Black,Male,6562,9517,95,India,<=50K
49,Private,241308,10th,1,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,7448,5392,8,Jamaica,<=50K
30,Self-emp-not-inc,246211,Bachelors,11,Married-civ-spouse,Other-service,Unmarried,Black,Male,11852,4343,95,Germany,>50K
68,Private,448794,11th,13,Separated,Sales,Wife,Asian-Pac-Islander,Male,99146,8843,76,Mexico,<=50K
41,State-gov,121525,Bachelors,9,Widowed,Other-service,Not-in-family,White,Male,59321,3200,37,United-States,>50K
65,State-gov,478345,HS-grad,15,Widowed,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,21042,3597,58,Cuba,>50K
74,Self-emp-not-inc,388082,11th,12,Separated,Craft-repair,Unmarried,Black,Female,45019,6311,50,Cuba,<=50K
59,Private,313470,Some-college,15,Separated,Tech-support,Wife,Other,Male,77980,5828,42,India,>50K
63,Without-pay,368458,11th,5,Never-married,Exec-managerial,Not-in-family,Other,Male,24622,3296,67,India,>50K
72,Federal-gov,309437,11th,12,Divorced,Sales,Wife,Asian-Pac-Islander,Male,42067,486,59,Jamaica,>50K
82,Private,353320,Some-college,10,Never-married,Exec-managerial,Husband,Black,Male,60125,3498,47,India,<=50K
80,Private,34212,Assoc-acdm,4,Separated,Sales,Unmarried,Other,Male,48553,2833,70,Canada,>50K
51,State-gov,51809,Bachelors,16,Married-civ-spouse,Other-service,Husband,Other,Female,85930,7744,45,Jamaica,<=50K
27,Federal-gov,250449,10th,5,Separated,Craft-repair,Unmarried,Asian-Pac-Islander,Female,47992,5477,97,Mexico,>50K
41,State-gov,298852,Some-college,1,Separated,Craft-repair,Not-in-family,Black,Female,55302,9865,25,Germany,<=50K
34,Private,477520,Assoc-voc,13,Married-civ-spouse,Sales,Not-in-family,Amer-Indian-Eskimo,Male,35336,9921,25,Canada,<=50K
73,State-gov,155622,HS-grad,1,Widowed,Prof-specialty,Own-child,Other,Female,27612,4680,41,United-States,>50K
27,Never-worked,190273,Assoc-acdm,16,Widowed,Sales,Unmarried,White,Male,83800,8855,74,Canada,>50K
78,Local-gov,272489,Some-college,11,Widowed,Tech-support,Not-in-family,White,Male,35812,4930,11,United-States,<=50K
42,State-gov,258279,11th,2,Widowed,Other-service,Husband,Asian-Pac-Islander,Female,2915,8903,83,Jamaica,>50K
54,Private,107720,Assoc-voc,7,Divorced,Craft-repair,Not-in-family,Other,Male,87170,4967,15,Mexico,<=50K
84,Federal-gov,240260,Assoc-voc,2,Divorced,Sales,Husband,Amer-Indian-Eskimo,Female,18480,284,22,Canada,>50K
28,Never-worked,89015,11th,15,Divorced,Other-service,Not-in-family,White,Male,59963,1119,16,India,<=50K
35,Without-pay,488777,HS-grad,7,Widowed,Tech-support,Unmarried,White,Male,6292,504,94,Jamaica,>50K
23,Without-pay,316172,Masters,9,Never-married,Tech-support,Not-in-family,Other,Female,52759,9728,81,India,<=50K
48,State-gov,386778,10th,15,Separated,Exec-managerial,Husband,Other,Female,86886,3803,71,India,<=50K
50,Private,62277,Assoc-acdm,7,Never-married,Prof-specialty,Unmarried,White,Male,53487,4458,71,Mexico,>50K
72,State-gov,142531,Some-college,15,Widowed,Tech-support,Unmarried,Other,Male,61459,6569,25,Canada,<=50K
47,Federal-gov,65903,HS-grad,15,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,70512,515,12,Mexico,>50K
63,Private,342499,Bachelors,10,Separated,Tech-support,Not-in-family,Asian-Pac-Islander,Male,56169,1612,73,Jamaica,<=50K
82,Private,492843,Assoc-acdm,7,Widowed,Craft-repair,Not-in-family,White,Male,24302,9257,75,Germany,<=50K
34,Without-pay,93887,11th,4,Separated,Prof-specialty,Not-in-family,Other,Female,21847,3115,4,Mexico,>50K
67,Self-emp-not-inc,45932,Assoc-voc,1,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,9129,1531,34,India,>50K
77,Local-gov,67300,Assoc-acdm,16,Separated,Exec-managerial,Wife,Other,Female,58840,7629,96,India,>50K
50,Federal-gov,36882,Bachelors,14,Married-civ-spouse,Tech-support,Wife,Other,Female,76029,3524,16,Mexico,<=50K
75,Federal-gov,293533,11th,1,Never-married,Exec-managerial,Own-child,Other,Female,619,2882,41,Germany,<=50K
59,Self-emp-not-inc,225673,Some-college,8,Married-civ-spouse,Prof-specialty,Own-child,Black,Male,97256,5845,19,Jamaica,<=50K
42,Without-pay,272064,Assoc-acdm,2,Divorced,Exec-managerial,Husband,Black,Female,30257,8982,56,Cuba,>50K
46,Self-emp-not-inc,419176,Assoc-acdm,11,Separated,Sales,Not-in-family,Asian-Pac-Islander,Female,76360,3578,75,Jamaica,<=50K
28,Never-worked,146179,10th,14,Widowed,Tech-support,Wife,White,Female,75481,4563,35,Jamaica,>50K
